engine_capacity,horsepower,top_speed,acceleration_0_100,seats,torque,hp_per_seat,is_electric_hybrid,performance_score,company_ALFA ROMEO,company_ASTON MARTIN,company_AUDI,company_BENTLEY,company_BMW,company_BUGATTI,company_CADILLAC,company_CHEVROLET,company_CITROEN,company_DODGE,company_FERRARI,company_FORD,company_Ford,company_GENESIS,company_GMC,company_HONDA,company_HYUNDAI,company_INFINITI,company_JEEP,company_KIA,company_KOENIGSEGG,company_LAMBORGHINI,company_LAND ROVER,company_LEXUS,company_LOTUS,company_LUCID,company_MASERATI,company_MAZDA,company_MCLAREN,company_MERCEDES,company_NISSAN,company_PAGANI,company_PEUGEOT,company_PORSCHE,company_RENAULT,company_RIMAC,company_RIVIAN,company_ROLLS ROYCE,company_SUBARU,company_TESLA,company_TOYOTA,company_VOLKSWAGEN,company_VOLVO,fuel_type_Electric,fuel_type_Hybrid,fuel_type_Petrol,fuel_type_Plug-in Hybrid,fuel_type_plug in hyrbrid,engine_type_1.6L Turbo,engine_type_1.6L Turbo + Electric,engine_type_1.8L Turbo,engine_type_2.0L I4,engine_type_2.0L I4 Turbo + Electric,engine_type_2.0L Turbo,engine_type_2.5L Boxer,engine_type_2.5L I4,engine_type_3.0L I6 Turbo,engine_type_3.5L V6 Hybrid,engine_type_3.6L V6,engine_type_3.8L V6 Twin Turbo,engine_type_Electric,engine_type_Flat-6,engine_type_V10,engine_type_V12,engine_type_V12 Twin Turbo,engine_type_V6 Twin Turbo,engine_type_V6 Twin Turbo + Electric,engine_type_V8,engine_type_V8 Supercharged,engine_type_V8 Twin Turbo,engine_type_W12,engine_type_W16,engine_size_category_small,engine_size_category_medium,engine_size_category_large,engine_size_category_xl,engine_size_category_xxl,price_category_economy,price_category_mid_range,price_category_premium,price_category_luxury,price_category_ultra_luxury,model_720S,model_911 Turbo S,model_AUDI R8 Gt,model_Air Dream Edition,model_Aventador SVJ,model_C5 Aircross,model_CAMRY,model_CIVIC Type R,model_CT5-V Blackwing,model_Camaro ZL1,model_Challenger Hellcat,model_Chiron,model_Continental GT,model_DBS Superleggera,model_EQS 580,model_EV6,model_Evija,model_F8 Tributo,model_G70 3.3T,model_GT 63 S,model_GTR,model_Giulia Quadrifoglio,model_Golf GTI,model_HUMMER EV,model_Huayra BC,model_Huracan EVO,model_IONIQ 5,model_Jesko Absolut,model_KA+,model_M5 Competition,model_MC20,model_MX-5 Miata,model_Megane RS,model_Model S Plaid,model_Mustang Shelby GT500,model_NSX,model_Nevera,model_PHANTOM,model_Q60 Red Sport 400,model_R1T,model_RX 450h,model_Range Rover Sport,model_SF90 STRADALE,model_Taycan Turbo S,model_WRX STI,model_Wrangler Rubicon,model_XC90 Recharge,model_e-tron GT,model_iX xDrive50
1200.0,77.5,165.0,10.5,5,100.0,15.5,0,15.714285714285714,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3799.0,565.0,315.0,2.9,4,637.0,141.25,0,108.62068965517241,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2891.0,505.0,307.0,3.9,5,600.0,101.0,0,78.71794871794872,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3994.0,710.0,341.0,2.9,2,770.0,355.0,0,117.58620689655173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5950.0,626.0,333.0,3.6,4,900.0,156.5,0,92.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1598.0,355.0,250.0,5.2,5,520.0,71.0,1,48.07692307692307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212.0,1000.0,180.0,3.0,5,15000.0,200.0,1,60.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5204.0,715.0,340.0,3.4,4,900.0,178.75,0,100.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1984.0,241.0,250.0,6.2,5,370.0,48.2,0,40.32258064516129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1598.0,180.0,210.0,8.9,5,250.0,36.0,0,23.595505617977526,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
