model,RMSE,MAE,MAPE (%),R2,params
Linear Regression,190414.7062141163,181889.99864202086,144.32402179213153,0.953238073404216,
Linear Regression (Baseline),190414.7062141163,181889.99864202086,144.32402179213153,0.953238073404216,
Ensemble (Average),192769.31060304385,184196.4481410434,145.62750506837787,0.9520744384547094,
Ridge Regression,198086.55356064378,188809.3471390885,148.23447162087055,0.9493940696254888,
"Gradient Boosting (Best: {'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3})",316886.4606214611,176224.03798635548,90.55017114526558,0.8704913460954,"{'n_estimators': 50, 'learning_rate': 0.1, 'max_depth': 3}"
Gradient Boosting,318992.10819633584,177428.25183550047,91.894752281935,0.8687645092986568,
"Random Forest (Best: {'n_estimators': 200, 'max_depth': 20})",426722.8851172312,201615.705,79.63706690990573,0.7651539331399319,"{'n_estimators': 200, 'max_depth': 20}"
Random Forest,439459.33730828384,206625.14,85.08730935902165,0.7509257594715077,
Lasso Regression,471254.53448659566,356290.94697152346,247.09440885135677,0.7135805503138145,
KNN Regressor,787808.6309671912,360393.2,50.12708366382992,0.19955242955601837,
SVR,967541.4812484762,430560.2489411867,61.15688762130429,-0.20734283424386102,
